"","Name","Class","Role","Tier","Score","Trend","Win..","Role..","Pick..","Ban..","KDA","Patch"
"184","Sylas","Mage","MID","S",67.17,"-5.59",0.4944,0.452,0.0725,0.2359,2.16,"13_1"
"185","Syndra","Mage","MID","S",59.05,"-0.74",0.4963,0.9151,0.0633,0.043,2.35,"13_1"
"186","Tahm Kench","Support","TOP","B",46.71,"4.34",0.4939,0.6233,0.019,0.0079,2.37,"13_1"
"187","Tahm Kench","Support","SUPPORT","D",32.38,"-5.46",0.5011,0.2824,0.0078,0.0079,2.34,"13_1"
"188","Taliyah","Mage","MID","A",49.34,"5.8",0.5242,0.5532,0.0159,0.0036,2.51,"13_1"
"189","Taliyah","Mage","JUNGLE","D",34.33,"11.38",0.4803,0.3183,0.0096,0.0038,2.59,"13_1"
"190","Talon","Assassin","MID","A",53.23,"1.73",0.5128,0.7333,0.0377,0.0123,2.31,"13_1"
"191","Talon","Assassin","JUNGLE","C",37.47,"6.9",0.4895,0.2916,0.0139,0.0126,2.56,"13_1"
"192","Taric","Support","SUPPORT","C",38.77,"-2.9",0.4941,0.8776,0.0237,0.0045,2.61,"13_1"
"193","Teemo","Marksman","TOP","S",57.27,"-2.94",0.5184,0.7258,0.0467,0.0716,1.84,"13_1"
"194","Thresh","Support","SUPPORT","S",66.15,"2.9",0.5142,0.9766,0.0778,0.017,2.74,"13_1"
"195","Tristana","Marksman","ADC","S",58.6,"5.51",0.5191,0.781,0.0914,0.048,2.4,"13_1"
"196","Tristana","Marksman","MID","A",48.26,"1.13",0.5167,0.2028,0.0207,0.048,2.16,"13_1"
"197","Trundle","Fighter","JUNGLE","C",39.63,"0.68",0.4966,0.7201,0.0156,0.0096,2.62,"13_1"
"198","Trundle","Fighter","TOP","D",34.86,"1.79",0.4752,0.2125,0.0045,0.0096,1.5,"13_1"
"199","Tryndamere","Fighter","TOP","B",47.32,"-3.06",0.4921,0.7735,0.0321,0.0384,1.8,"13_1"
"200","Tryndamere","Fighter","MID","B",44.34,"-5.85",0.5219,0.1654,0.007,0.0384,2.05,"13_1"
"201","Twisted Fate","Mage","MID","B",48.17,"7.49",0.4966,0.9074,0.0274,0.0012,2.52,"13_1"
"202","Twitch","Marksman","ADC","A",55.49,"-4.61",0.5165,0.6513,0.0723,0.1464,2.45,"13_1"
"203","Twitch","Marksman","SUPPORT","D",33.02,"-12.35",0.4661,0.2465,0.0265,0.1464,2.05,"13_1"
"204","Udyr","Fighter","JUNGLE","God",73.21,"-18.99",0.5196,0.8032,0.0731,0.2601,2.8,"13_1"
"205","Udyr","Fighter","TOP","A",48.64,"999NEW",0.514,0.1699,0.0155,0.2649,1.95,"13_1"
"206","Urgot","Fighter","TOP","A",51.83,"0.96",0.5118,0.92,0.0343,0.0128,1.92,"13_1"
"207","Varus","Marksman","ADC","S",59.59,"5.02",0.4966,0.8753,0.1171,0.0277,2.43,"13_1"
"208","Varus","Marksman","MID","C",40.69,"-3.68",0.4858,0.1253,0.0148,0.0254,2.07,"13_1"
"209","Vayne","Marksman","TOP","B",45.08,"6.36",0.5202,0.1938,0.0093,0.0302,1.68,"13_1"
"210","Vayne","Marksman","ADC","C",37.77,"-10.37",0.4924,0.7819,0.0421,0.0282,2.06,"13_1"
"211","Veigar","Mage","MID","B",46.93,"-4.41",0.483,0.7522,0.0345,0.0198,2.22,"13_1"
"212","Veigar","Mage","ADC","D",34.86,"-5.31",0.5104,0.1392,0.0063,0.0219,2.36,"13_1"
"213","Vel'Koz","Mage","MID","B",43.02,"-2.43",0.4932,0.3066,0.0111,0.0057,2.59,"13_1"
"214","Vel'Koz","Mage","SUPPORT","C",40.4,"-5.69",0.5124,0.6641,0.0224,0.0053,2.27,"13_1"
"215","Vex","Mage","MID","A",54.21,"-4.29",0.4966,0.9401,0.0465,0.0564,2.38,"13_1"
"216","Vi","Fighter","JUNGLE","S",60.36,"-0.34",0.5207,0.9522,0.0621,0.0159,2.63,"13_1"
"217","Viego","Assassin","JUNGLE","A",53.4,"-8.91",0.4892,0.8826,0.0613,0.0183,2.46,"13_1"
"218","Viktor","Mage","MID","S",58.95,"-1.25",0.5052,0.9617,0.0599,0.0268,2.32,"13_1"
"219","Vladimir","Mage","MID","A",52.91,"2.44",0.4995,0.7876,0.0408,0.0364,2.47,"13_1"
"220","Vladimir","Mage","TOP","C",41.6,"-0.14",0.488,0.202,0.0103,0.0369,2.03,"13_1"
"221","Volibear","Fighter","JUNGLE","B",43.63,"5.45",0.5043,0.509,0.0226,0.0093,2.65,"13_1"
"222","Volibear","Fighter","TOP","C",40.07,"0.09",0.4763,0.4532,0.0183,0.0093,1.73,"13_1"
"223","Warwick","Fighter","JUNGLE","A",53.99,"-22.61",0.4974,0.6124,0.0554,0.0841,2.2,"13_1"
"224","Warwick","Fighter","TOP","A",49.91,"-1.13",0.5165,0.3484,0.0231,0.0841,1.88,"13_1"
"225","Wukong","Fighter","JUNGLE","S",56.43,"4.69",0.5142,0.7216,0.0513,0.02,2.83,"13_1"
